City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
5,Catamarca,AR,80.78,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
28,Lorengau,PG,83.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Butaritari,KI,82.24,broken clouds,3.0707,172.7902,Isles Sunset Lodge
42,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
71,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
83,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
93,Unguia,CO,82.42,broken clouds,8.0434,-77.0945,Residencias El Golfo
108,Vao,NC,80.62,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
109,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Broken Hill,AU,80.31,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
135,Bima,ID,80.15,overcast clouds,-8.4667,118.7167,Lambitu Hotel
140,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
144,Puerto Escondido,MX,81.05,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
157,Ugoofaaru,MV,80.31,broken clouds,5.6667,73.0,Ungoofaaru Inn
174,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
176,Morondava,MG,80.49,moderate rain,-20.2833,44.2833,La Case Bambou
182,Biak,ID,80.19,broken clouds,-0.9131,122.8766,Penginapan Kim
190,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
208,San Juan,AR,86.02,clear sky,-31.5375,-68.5364,Hotel Provincial
209,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Base Lodging
210,Alice Springs,AU,83.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
231,Tevaitoa,PF,81.46,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
237,Port Keats,AU,85.59,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
241,Sola,VU,81.57,moderate rain,-13.8833,167.55,Leumerus Bungalows
247,Tual,ID,82.94,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
251,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
