City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-02-01 21:34:38,-42.8794,147.3294,57.11,52,20,1.01
1,Ola,RU,2022-02-01 21:34:39,59.5833,151.2833,0.52,81,85,11.12
2,Jamestown,US,2022-02-01 21:30:36,42.097,-79.2353,42.39,48,0,14.97
3,Hithadhoo,MV,2022-02-01 21:34:40,-0.6,73.0833,82.42,73,4,12.41
4,Lebu,CL,2022-02-01 21:34:41,-37.6167,-73.65,63.32,80,0,12.28
5,Mataura,NZ,2022-02-01 21:34:41,-46.1927,168.8643,72.48,60,100,7.67
6,Rabo De Peixe,PT,2022-02-01 21:34:42,37.8,-25.5833,57.27,95,20,8.05
7,Faanui,PF,2022-02-01 21:34:42,-16.4833,-151.75,80.56,76,11,19.73
8,Port Hedland,AU,2022-02-01 21:34:43,-20.3167,118.5667,80.65,100,100,0.0
9,Mabaruma,GY,2022-02-01 21:34:43,8.2,-59.7833,76.62,82,15,4.9
10,Upernavik,GL,2022-02-01 21:34:44,72.7868,-56.1549,-14.64,74,100,6.71
11,Noumea,NC,2022-02-01 21:34:44,-22.2763,166.4572,82.38,72,97,5.64
12,Inhambane,MZ,2022-02-01 21:34:45,-23.865,35.3833,76.3,79,1,5.86
13,Arraial Do Cabo,BR,2022-02-01 21:32:56,-22.9661,-42.0278,78.76,89,75,6.91
14,Manbij,SY,2022-02-01 21:34:45,36.5281,37.9549,41.77,78,99,4.14
15,Iqaluit,CA,2022-02-01 21:34:46,63.7506,-68.5145,-14.31,75,75,8.99
16,Darovskoy,RU,2022-02-01 21:34:46,58.77,47.9564,26.44,93,100,9.31
17,Bam,IR,2022-02-01 21:34:47,29.106,58.357,52.21,54,0,19.44
18,Rikitea,PF,2022-02-01 21:34:47,-23.1203,-134.9692,78.35,70,93,5.73
19,Ponta Do Sol,PT,2022-02-01 21:34:48,32.6667,-17.1,66.0,73,61,12.1
20,Albany,US,2022-02-01 21:34:48,42.6001,-73.9662,33.75,54,41,1.99
21,Atuona,PF,2022-02-01 21:34:09,-9.8,-139.0333,78.33,73,13,20.33
22,Longyearbyen,SJ,2022-02-01 21:34:49,78.2186,15.6401,22.84,58,75,2.3
23,Hermanus,ZA,2022-02-01 21:34:50,-34.4187,19.2345,69.91,82,20,2.42
24,Hofn,IS,2022-02-01 21:32:55,64.2539,-15.2082,23.97,64,22,7.16
25,Butaritari,KI,2022-02-01 21:34:50,3.0707,172.7902,81.63,76,45,11.14
26,Vaini,TO,2022-02-01 21:34:51,-21.2,-175.2,84.36,74,20,6.91
27,Punta Arenas,CL,2022-02-01 21:31:48,-53.15,-70.9167,51.91,50,20,37.98
28,Busselton,AU,2022-02-01 21:34:52,-33.65,115.3333,60.08,68,23,18.16
29,Ushuaia,AR,2022-02-01 21:34:39,-54.8,-68.3,42.46,87,75,43.73
30,Bambous Virieux,MU,2022-02-01 21:34:52,-20.3428,57.7575,79.21,100,75,18.41
31,Severo-Kurilsk,RU,2022-02-01 21:34:53,50.6789,156.125,27.75,78,83,11.7
32,Gamba,GA,2022-02-01 21:33:02,-2.65,10.0,77.59,89,42,4.88
33,Mehamn,NO,2022-02-01 21:34:03,71.0357,27.8492,23.18,78,50,9.91
34,Sao Francisco,BR,2022-02-01 21:34:54,-15.9486,-44.8644,76.05,81,100,3.33
35,Samarai,PG,2022-02-01 21:34:54,-10.6167,150.6667,81.07,78,100,12.33
36,Pevek,RU,2022-02-01 21:34:55,69.7008,170.3133,-10.57,82,99,3.91
37,Bredasdorp,ZA,2022-02-01 21:31:40,-34.5322,20.0403,74.28,80,4,1.21
38,Cabo San Lucas,MX,2022-02-01 21:32:56,22.8909,-109.9124,76.6,49,0,5.99
39,Souillac,MU,2022-02-01 21:34:56,-20.5167,57.5167,79.36,100,75,18.41
40,Sambava,MG,2022-02-01 21:34:56,-14.2667,50.1667,75.18,83,36,6.71
41,Takapau,NZ,2022-02-01 21:34:57,-40.0333,176.35,76.19,37,100,2.33
42,Taseyevo,RU,2022-02-01 21:34:57,57.2169,94.8978,-12.14,100,80,2.21
